key_next_2.keys,key_next_2.rt,participant,List,date,expName,psychopyVersion,OS,frameRate,key_next.keys,key_next.rt,mic_orig.clip,pass_next.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,original_audio,syllables,number_of_words,number_of_syllables,duration,compression,filename,advance.keys,advance.rt,mic.clip,key_resp_3.keys,task_loop_block1.thisRepN,task_loop_block1.thisTrialN,task_loop_block1.thisN,task_loop_block1.thisIndex,task_loop_block1.ran,start.keys,start.rt,blocks_loop1.thisRepN,blocks_loop1.thisTrialN,blocks_loop1.thisN,blocks_loop1.thisIndex,blocks_loop1.ran,condsFile
right,39.332,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,right,23.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,recording_mic_orig_trials_0,,0,0,0,0,1,Leur train arrive à la gare avec du retard,retard_coh_A2-A2_normal.wav,Leur /train /ar/ri/ve/ à /la /ga/re a/vec /du /re/tard,9,13,1683,x1,retard_coh_A2-A2_normal.wav,,,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,recording_mic_orig_trials_1,,0,1,1,2,1,Les musiciens réparent les cordes de leur guitare,guitare_coh_C2-C2_normal.wav,Les /mu/si/ci/ens /ré/pa/rent /les /cor/des /de /leur /gui/tare,8,15,1626,x1,guitare_coh_C2-C2_normal.wav,,,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,recording_mic_orig_trials_2,,0,2,2,1,1,Sa marraine cherche un plat dans le buffet,buffet_coh_C1-C1_normal.wav,Sa /mar/rai/ne /cher/che un /plat /dans /le /buf/fet,8,11,1452,x1,buffet_coh_C1-C1_normal.wav,,,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,,,,,,,,,right,185.604,,,,,,,,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,L'athlète pratique le judo sur un tapis,tapis_coh_A3-A3_normal.wav,L'a/thlè/te /pra/ti/que /le /ju/do /sur /un /ta/pis,7,13,798,x2.0,tapis_coh_A3-A3_normal_x2compressed.wav,,,recording_mic_task_loop_block1_0,,0,0,0,0,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,L'écolier écrit la leçon sur son cahier,cahier_coh_A1-A1_normal.wav,L'é/co/lier /é/crit /la /le/çon /sur /son /ca/hier,7,12,801,x2.0,cahier_coh_A1-A1_normal_x2compressed.wav,,,recording_mic_task_loop_block1_1,,0,1,1,1,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La fillette coiffe les cheveux de sa poupée,poupee_coh_B1-B1_normal.wav,La /fil/let/te /coif/fe /les /che/veux /de /sa /pou/pée,8,13,711,x2.0,poupee_coh_B1-B1_normal_x2compressed.wav,,,recording_mic_task_loop_block1_2,,0,2,2,3,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La fleuriste mets des roses dans le bouquet,bouquet_coh_A2-A2_normal.wav,La /fleu/ris/te /mets /des /ro/ses /dans /le /bou/quet,8,12,725,x2.0,bouquet_coh_A2-A2_normal_x2compressed.wav,,,recording_mic_task_loop_block1_3,,0,3,3,4,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,L'élève remet son classeur dans son cartable,cartable_coh_A1-A1_normal.wav,L'é/lè/ve /re/met /son /clas/seur /dans /son /car/ta/ble,7,13,853,x2.0,cartable_coh_A1-A1_normal_x2compressed.wav,,,recording_mic_task_loop_block1_4,,0,4,4,2,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,right,112.025,0,0,0,0,1,x2_L1.xlsx
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La maîtresse évalue le niveau de lecture,lecture_coh_D1-D1_normal.wav,La /maî/tres/se/ é/va/lue /le /ni/veau /de /lec/tu/re,7,14,878,x1.75,lecture_coh_D1-D1_normal_x1.75compressed.wav,,,recording_mic_task_loop_block1_0,,0,0,0,2,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La maîtresse corrige les fautes de la dictée,dictee_coh_A1-A1_normal.wav,La /maî/tres/se /cor/ri/ge /les /fau/tes /de /la /dic/tée,8,14,920,x1.75,dictee_coh_A1-A1_normal_x1.75compressed.wav,,,recording_mic_task_loop_block1_1,,0,1,1,1,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La maman achète des couches pour son bébé,bebe_coh_C1-C1_normal.wav,La /ma/man /a/chè/te /des /cou/ches /pour /son /bé/bé,8,13,867,x1.75,bebe_coh_C1-C1_normal_x1.75compressed.wav,,,recording_mic_task_loop_block1_2,,0,2,2,3,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La mémé lance des miettes aux pigeons,pigeons_coh_A1-A1_normal.wav,La /mé/mé /lan/ce /des /miet/tes /aux /pi/ge/ons,7,12,740,x1.75,pigeons_coh_A1-A1_normal_x1.75compressed.wav,,,recording_mic_task_loop_block1_3,,0,3,3,4,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La grand-mère empile les bols sur les assiettes,assiettes_coh_A2-A2_normal.wav,La /grand /mè/re em/pi/le /les /bols /sur /les /as/siet/tes,8,13,1049,x1.75,assiettes_coh_A2-A2_normal_x1.75compressed.wav,,,recording_mic_task_loop_block1_4,,0,4,4,0,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,right,4.822,0,1,1,1,1,x1.75_L2.xlsx
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,Le roi organise une fête dans son château,chateau_coh_C3-C3_normal.wav,Le /roi /or/ga/ni/se u/ne /fê/te /dans /son /châ/teau,8,13,1159,x1.5,chateau_coh_C3-C3_normal_x1.5compressed.wav,,,recording_mic_task_loop_block1_0,,0,0,0,4,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,Le papy utilise des mouchoirs en tissu,tissu_coh_D3-D3_normal.wav,Le /pa/py /u/ti/li/se /des /mou/choirs /en /tis/su,7,13,1039,x1.5,tissu_coh_D3-D3_normal_x1.5compressed.wav,,,recording_mic_task_loop_block1_1,,0,1,1,2,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,Le gamin attache ses baskets avec un lacet,lacet_coh_A1-A1_normal.wav,Le /ga/min /at/ta/che /ses /bas/kets /a/vec /un /la/cet,8,14,1093,x1.5,lacet_coh_A1-A1_normal_x1.5compressed.wav,,,recording_mic_task_loop_block1_2,,0,2,2,1,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,La poule donne des graines à ses poussins,poussins_coh_A2-A2_normal.wav,La /pou/le /don/ne /des /grai/nes /à /ses /pous/sins,8,12,1018,x1.5,poussins_coh_A2-A2_normal_x1.5compressed.wav,,,recording_mic_task_loop_block1_3,,0,3,3,0,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,Le Père Noël reçoit l'aide d'un lutin,lutin_coh_B1-B1_normal.wav,Le /Pè/re /No/ël /re/çoit /l'ai/de /d'un /lu/tin,7,12,928,x1.5,lutin_coh_B1-B1_normal_x1.5compressed.wav,,,recording_mic_task_loop_block1_4,,0,4,4,3,1,,,,,,,,
,,526398,v5,2026-04-10_06h35.04.995,Intelligibility11,2022.2.4,MacIntel,43.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.943,0,2,2,2,1,x1.5_L3.xlsx
